id_penjualan;tanggal;provinsi;qty;vol_ml;nama_barang;total;nama_kurir;srv_lvl
4576;03-Jan-19;Banten;1;10;Basil;69000;JNE REG;Reg
4600;05-Jan-19;Banten;1;20;Lemongrass;99900;J&T CASHLESS;Exp
4600;05-Jan-19;Banten;1;20;Gurjun;28900;J&T CASHLESS;Exp
4600;05-Jan-19;Banten;1;10;Ylang Ylang;90500;J&T CASHLESS;Exp
4613;06-Jan-19;DKI Jakarta;2;1000;Cajuput;2107000;JNE REG;Reg
4613;06-Jan-19;DKI Jakarta;1;1000;Citronella;697500;JNE REG;Reg
4616;06-Jan-19;DKI Jakarta;1;100;VCO;207000;J&T CASHLESS;Exp
4616;06-Jan-19;DKI Jakarta;1;20;Patchouli;111000;J&T CASHLESS;Exp
4616;06-Jan-19;DKI Jakarta;1;20;Gurjun;28900;J&T CASHLESS;Exp
4616;06-Jan-19;DKI Jakarta;1;20;Clove Bud;83000;J&T CASHLESS;Exp
4643;09-Jan-19;Jawa Tengah;1;10;Patchouli;58500;JNE REG;Reg
4643;09-Jan-19;Jawa Tengah;1;10;Lavender;122900;JNE REG;Reg
4659;10-Jan-19;Bali;1;10;Cornt Mint;89500;JNE REG;Reg
4659;10-Jan-19;Bali;1;10;Flu dan Cough;195500;JNE REG;Reg
4660;10-Jan-19;Jawa Barat;1;10;Rosemary;86500;J&T CASHLESS;Exp
4700;12-Jan-19;Jawa Barat;1;50;Clove Bud;183500;NINJA;Reg
4705;14-Jan-19;DKI Jakarta;1;10;Lavender;122900;J&T CASHLESS;Exp
4707;14-Jan-19;Banten;1;20;Rosemary;162000;JOB;Reg
4741;15-Jan-19;DKI Jakarta;1;50;VCO;112000;GOJEK;Inst
4741;15-Jan-19;DKI Jakarta;1;10;Peppermint;102500;GOJEK;Inst
4741;15-Jan-19;DKI Jakarta;1;10;Rosemary;86500;GOJEK;Inst
4742;15-Jan-19;Riau;1;10;Magnolia;91500;J&T CASHLESS;Exp
4742;15-Jan-19;Riau;1;10;French Lavender Organic;131500;J&T CASHLESS;Exp
4742;15-Jan-19;Riau;1;10;Peppermint;102500;J&T CASHLESS;Exp
4742;15-Jan-19;Riau;1;10;Flu dan Cough;195500;J&T CASHLESS;Exp
4751;16-Jan-19;Jawa Timur;1;10;Patchouli;58500;J&T CASHLESS;Exp
4751;16-Jan-19;Jawa Timur;1;10;Lemongrass;57900;J&T CASHLESS;Exp
4751;16-Jan-19;Jawa Timur;1;10;Lavender;122900;J&T CASHLESS;Exp
4755;16-Jan-19;Jawa Timur;1;10;Citronella;50000;JNE REG;Reg
4755;16-Jan-19;Jawa Timur;1;10;Patchouli;58500;JNE REG;Reg
4755;16-Jan-19;Jawa Timur;1;10;Lemongrass;57900;JNE REG;Reg
4758;16-Jan-19;Banten;1;20;Nutmeg;97500;GRAB;Inst
4766;16-Jan-19;Banten;1;10;Lemon;122900;JNE REG;Reg
4767;17-Jan-19;Jawa Barat;1;20;Citronella;83000;JNE REG;Reg
4767;17-Jan-19;Jawa Barat;1;10;Peppermint;102500;JNE REG;Reg
4767;17-Jan-19;Jawa Barat;1;10;French Lavender Organic;131500;JNE REG;Reg
4785;18-Jan-19;Kalimantan Barat;1;20;Jojoba;97000;JNE REG;Reg
4785;18-Jan-19;Kalimantan Barat;1;20;Ylang Ylang;135900;JNE REG;Reg
4785;18-Jan-19;Kalimantan Barat;1;20;Patchouli;111000;JNE REG;Reg
4785;18-Jan-19;Kalimantan Barat;1;20;Lemongrass;99900;JNE REG;Reg
4785;18-Jan-19;Kalimantan Barat;1;20;Kaafir Lime;100000;JNE REG;Reg
4785;18-Jan-19;Kalimantan Barat;1;20;Clove Bud;83000;JNE REG;Reg
4785;18-Jan-19;Kalimantan Barat;1;10;Lemongrass;57900;JNE REG;Reg
4785;18-Jan-19;Kalimantan Barat;1;10;Peppermint;102500;JNE REG;Reg
4790;18-Jan-19;DKI Jakarta;1;20;Nutmeg;97500;GOJEK;Inst
4790;18-Jan-19;DKI Jakarta;1;10;Peppermint;102500;GOJEK;Inst
4811;21-Jan-19;Kalimantan Timur;1;10;Citronella;50000;JNE REG;Reg
4811;21-Jan-19;Kalimantan Timur;1;10;Patchouli;58500;JNE REG;Reg
4811;21-Jan-19;Kalimantan Timur;1;10;Bergamot;99900;JNE REG;Reg
4811;21-Jan-19;Kalimantan Timur;1;10;Ylang Ylang;90500;JNE REG;Reg
4811;21-Jan-19;Kalimantan Timur;1;10;French Lavender Organic;131500;JNE REG;Reg
4811;21-Jan-19;Kalimantan Timur;1;10;Lavender;122900;JNE REG;Reg
4811;21-Jan-19;Kalimantan Timur;1;10;Flu dan Cough;195500;JNE REG;Reg
4825;21-Jan-19;Jawa Tengah;1;10;Cinamon Bark;108900;J&T CASHLESS;Exp
4825;21-Jan-19;Jawa Tengah;1;10;Magnolia;91500;J&T CASHLESS;Exp
4826;21-Jan-19;Jawa Barat;1;20;Citronella;83000;GOJEK;Inst
4826;21-Jan-19;Jawa Barat;1;10;Orange;90000;GOJEK;Inst
4884;25-Jan-19;DKI Jakarta;1;10;Clove Bud;50000;GOJEK;Inst
4884;25-Jan-19;DKI Jakarta;1;10;Lavender;122900;GOJEK;Inst
4899;26-Jan-19;Banten;1;10;Frangipani;91500;J&T CASHLESS;Exp
4899;26-Jan-19;Banten;1;10;Vetiver;187500;J&T CASHLESS;Exp
4904;26-Jan-19;DKI Jakarta;1;10;Flu dan Cough;195500;GOJEK;Inst
4916;28-Jan-19;Jawa Timur;1;20;Cajuput;67500;JNE REG;Reg
4916;28-Jan-19;Jawa Timur;1;10;Peppermint;102500;JNE REG;Reg
4981;30-Jan-19;Daerah Istimewa Yogyakarta;1;20;Cananga;148000;JNE REG;Reg
4981;30-Jan-19;Daerah Istimewa Yogyakarta;1;10;Magnolia;91500;JNE REG;Reg
4981;30-Jan-19;Daerah Istimewa Yogyakarta;1;10;Vetiver;187500;JNE REG;Reg
4994;30-Jan-19;Jawa Timur;1;20;Lemongrass;99900;JNE REG;Reg
4994;30-Jan-19;Jawa Timur;1;20;Patchouli;111000;JNE REG;Reg
4994;30-Jan-19;Jawa Timur;1;20;Cornt Mint;115500;JNE REG;Reg
5028;02-Feb-19;DKI Jakarta;1;20;French Lavender Organic;254500;GOJEK;Inst
5034;02-Feb-19;DKI Jakarta;1;10;Lavender;122900;GRAB;Inst
5034;02-Feb-19;DKI Jakarta;1;10;Peppermint;102500;GRAB;Inst
5034;02-Feb-19;DKI Jakarta;1;10;Rosemary;86500;GRAB;Inst
5058;05-Feb-19;Kalimantan Timur;1;20;Lavender;215900;J&T CASHLESS;Exp
5058;05-Feb-19;Kalimantan Timur;1;10;Citronella;50000;J&T CASHLESS;Exp
5058;05-Feb-19;Kalimantan Timur;1;10;Peppermint;102500;J&T CASHLESS;Exp
5058;05-Feb-19;Kalimantan Timur;1;10;Magnolia;91500;J&T CASHLESS;Exp
5093;06-Feb-19;Jawa Barat;1;10;Peppermint;102500;J&T CASHLESS;Exp
5093;06-Feb-19;Jawa Barat;1;10;French Lavender Organic;131500;J&T CASHLESS;Exp
5093;06-Feb-19;Jawa Barat;1;10;Rosemary;86500;J&T CASHLESS;Exp
5121;07-Feb-19;Banten;1;10;Cananga;96500;JNE REG;Reg
5121;07-Feb-19;Banten;1;10;French Lavender Organic;131500;JNE REG;Reg
5144;08-Feb-19;Jawa Barat;2;10;Gurjun;47800;J&T REG;Reg
5173;11-Feb-19;Jawa Barat;1;10;Bugs be Gone;175000;GOJEK;Inst
5246;13-Feb-19;DKI Jakarta;1;20;French Lavender Organic;254500;JNE REG;Reg
5256;13-Feb-19;DKI Jakarta;1;10;Peppermint;102500;GOJEK;Inst
5256;13-Feb-19;DKI Jakarta;1;10;Cedarwood;71500;GOJEK;Inst
5256;13-Feb-19;DKI Jakarta;1;10;Rosemary;86500;GOJEK;Inst
5256;13-Feb-19;DKI Jakarta;1;10;Lavender;122900;GOJEK;Inst
5268;13-Feb-19;DKI Jakarta;1;10;Peppermint;102500;JNE REG;Reg
5268;13-Feb-19;DKI Jakarta;1;10;Vanila;121500;JNE REG;Reg
5268;13-Feb-19;DKI Jakarta;1;10;Lavender;122900;JNE REG;Reg
5268;13-Feb-19;DKI Jakarta;1;10;Relax and Destress;290000;JNE REG;Reg
5268;13-Feb-19;DKI Jakarta;1;10;Flu dan Cough;195500;JNE REG;Reg
5273;14-Feb-19;Jawa Barat;1;20;Peppermint;202900;J&T CASHLESS;Exp
5273;14-Feb-19;Jawa Barat;1;20;Tea Tree;148000;J&T CASHLESS;Exp
5294;15-Feb-19;DKI Jakarta;1;10;French Lavender Organic;131500;GOJEK;Inst
5295;15-Feb-19;DKI Jakarta;1;10;Peppermint;102500;JNE REG;Reg
5295;15-Feb-19;DKI Jakarta;1;10;Lavender;122900;JNE REG;Reg
5300;15-Feb-19;Jawa Barat;1;10;Fennel;101500;J&T CASHLESS;Exp
5300;15-Feb-19;Jawa Barat;1;10;Magnolia;91500;J&T CASHLESS;Exp
5300;15-Feb-19;Jawa Barat;1;10;Eucalyptus Organic;115900;J&T CASHLESS;Exp
5300;15-Feb-19;Jawa Barat;1;10;Cornt Mint;89500;J&T CASHLESS;Exp
5327;18-Feb-19;DKI Jakarta;1;10;Rosemary;86500;GOJEK;Inst
5327;18-Feb-19;DKI Jakarta;1;10;Vetiver;187500;GOJEK;Inst
5347;18-Feb-19;Banten;1;10;Flu dan Cough;195500;JNE REG;Reg
5392;19-Feb-19;Jawa Barat;1;10;Nutmeg;71500;J&T CASHLESS;Exp
5392;19-Feb-19;Jawa Barat;1;10;Lemongrass;57900;J&T CASHLESS;Exp
5414;20-Feb-19;DKI Jakarta;1;10;Frankincense Serrata;141900;JNE REG;Reg
5459;21-Feb-19;Jawa Tengah;1;10;Lemon;122900;J&T CASHLESS;Exp
5461;21-Feb-19;DKI Jakarta;1;50;Kukui Nut;116500;JNE REG;Reg
5461;21-Feb-19;DKI Jakarta;1;10;Peppermint;102500;JNE REG;Reg
5478;22-Feb-19;Kalimantan Barat;1;10;Ylang Ylang;90500;J&T CASHLESS;Exp
5478;22-Feb-19;Kalimantan Barat;1;10;French Lavender Organic;131500;J&T CASHLESS;Exp
5550;25-Feb-19;Kalimantan Timur;1;50;Patchouli;250900;JNE REG;Reg
5567;26-Feb-19;DKI Jakarta;1;20;Olive;50000;J&T CASHLESS;Exp
5567;26-Feb-19;DKI Jakarta;1;10;Peppermint;102500;J&T CASHLESS;Exp
5567;26-Feb-19;DKI Jakarta;1;10;Clove Bud;50000;J&T CASHLESS;Exp
5590;27-Feb-19;DKI Jakarta;1;20;Frankincense Sacra;210000;JNE REG;Reg
5590;27-Feb-19;DKI Jakarta;1;20;Vanila;217500;JNE REG;Reg
5606;27-Feb-19;Jawa Barat;1;10;Flu dan Cough;195500;JNE REG;Reg
5610;27-Feb-19;Banten;1;10;Frankincense Sacra;123500;JNE YES;Reg
5610;27-Feb-19;Banten;1;10;Basil;69000;JNE YES;Reg
5610;27-Feb-19;Banten;1;10;Ginger;99900;JNE YES;Reg
5624;28-Feb-19;Jawa Barat;1;20;Eucalyptus Organic;211500;GOJEK;Inst
5678;04-Mar-19;DKI Jakarta;1;10;Peppermint;102500;J&T REG;Reg
5678;04-Mar-19;DKI Jakarta;1;10;Flu dan Cough;195500;J&T REG;Reg
5692;04-Mar-19;Jawa Barat;1;10;Vanila;121500;J&T CASHLESS;Exp
5692;04-Mar-19;Jawa Barat;1;10;Spearmint;111900;J&T CASHLESS;Exp
5737;05-Mar-19;DKI Jakarta;1;10;Cinamon Bark;108900;J&T CASHLESS;Exp
5737;05-Mar-19;DKI Jakarta;1;10;Patchouli;58500;J&T CASHLESS;Exp
5758;06-Mar-19;Jawa Barat;1;10;Flu dan Cough;195500;J&T CASHLESS;Exp
5820;08-Mar-19;Jawa Barat;1;10;Black Pepper;117500;J&T CASHLESS;Exp
5824;08-Mar-19;DKI Jakarta;1;20;Citronella;83000;JNE REG;Reg
5833;08-Mar-19;Jawa Barat;1;50;Olive;108500;GRAB;Inst
5833;08-Mar-19;Jawa Barat;1;10;Flu dan Cough;195500;GRAB;Inst
5839;11-Mar-19;Jawa Barat;1;250;Rosemary;812000;JNE YES;Reg
5845;11-Mar-19;DKI Jakarta;1;20;Peppermint;202900;JNE REG;Reg
5845;11-Mar-19;DKI Jakarta;1;20;Frankincense Serrata;237500;JNE REG;Reg
